Target,Ligand,expddg,mean_plddt,ranking_confidence,ligand_rmsd,kabsch_rmsd,global_rmsd_ca,pocket_rmsd_ca,global_rmsd_aa,pocket_rmsd_aa
MCL1,30,-7.85321195175529,95.02073767955265,0.9824398572198185,0.712931496135371,0.3379450206569657,0.9256871938705444,0.4008055627346039,1.4628219604492188,0.6561707854270935
MCL1,40,-7.25302544244784,93.36029369126673,0.9564598698024032,1.3376355243148603,0.3385851861315976,0.954005777835846,0.5643348097801208,1.4736924171447754,0.7870959639549255
MCL1,58,-9.40789916598878,95.04085400120229,0.9686971159548722,0.7392424734452525,0.6844713983068341,0.8737684488296509,0.3547934293746948,1.4265215396881104,0.5967722535133362
MCL1,34,-6.86919156414505,93.55843748677161,0.9548846700638094,1.1806989526624403,1.0893122412374767,0.8525480628013611,0.2916391789913177,1.331946611404419,0.6181058883666992
MCL1,43,-7.03469617128338,94.20945429133911,0.9791419823062234,0.4325184872559574,0.2151901547031932,0.8880466222763062,0.3769373893737793,1.390287160873413,0.669161319732666
MCL1,51,-8.44846494324944,94.31802719102326,0.9724282811595248,0.9359890935164884,0.40915460720334,0.8950029015541077,0.4467163980007171,1.4074039459228516,0.6725555062294006
MCL1,46,-7.60113429727595,94.504888954347,0.9816133877359874,0.7978896956118912,0.6916021864030764,0.8823131918907166,0.3599662780761719,1.3539129495620728,0.6345515251159668
MCL1,68,-7.6896119149271,93.98703754204193,0.9739878980975756,1.065972377904111,0.8321282285578824,0.908380389213562,0.3697177171707153,1.3796746730804443,0.6234160661697388
MCL1,62,-7.95565704541698,93.96374803412095,0.9686140567287623,0.9376938185104594,0.3726534054509589,0.923072636127472,0.4501378536224365,1.4298418760299685,0.662859320640564
MCL1,47,-5.77553168796231,94.10835071960948,0.9812782874206383,0.7951175101832431,0.6920206149693863,0.9067742228507996,0.3661381900310516,1.4157812595367432,0.6279489398002625
MCL1,26,-8.23584030891924,94.8158925083842,0.9843350124352261,1.025632602570017,0.6825674633532055,0.8963870406150818,0.406198114156723,1.3821433782577517,0.6419110894203186
MCL1,44,-8.6733813532598,94.3701799027732,0.9806430924161198,0.8174980127860202,0.6727252280364016,0.9162704944610596,0.3826810419559479,1.3707643747329712,0.6185427904129028
MCL1,65,-8.40733622276992,94.83307510282874,0.9624286714562784,0.5020314237720044,0.1734983630148944,0.9148731231689452,0.3501089811325073,1.3860552310943604,0.5987392663955688
MCL1,49,-8.36145743731744,93.41819612358154,0.9333663583136707,1.3393549627950152,1.0598490309655784,0.8742511868476868,0.3637446761131286,1.3523743152618408,0.6498886942863464
MCL1,23,-8.82854391662772,94.11742275259373,0.9829306225090034,0.936347138424828,0.659304908238164,0.9159122705459596,0.3987638652324676,1.4054192304611206,0.617058515548706
MCL1,63,-9.06225196641364,95.02035608335241,0.9658102660225325,0.3136978228979428,0.1976255677967192,0.8816401958465576,0.3696157932281494,1.4625279903411863,0.608031690120697
MCL1,42,-8.89674735927531,94.6263170024216,0.9848882920395381,0.7743417753163006,0.2441957139595161,0.8887536525726318,0.4033973217010498,1.388706922531128,0.6282988786697388
MCL1,57,-9.03887132268158,94.19116800065967,0.9828349504734569,0.7919153372448576,0.4934305529623825,0.9090992212295532,0.3916608691215515,1.3985180854797363,0.6359457969665527
MCL1,32,-6.58301699393044,93.4182428402535,0.9452360007180864,1.3595533327330172,1.2292464953482212,0.8770080208778381,0.2866324186325073,1.3960081338882446,0.591377854347229
MCL1,41,-7.12924538792258,91.62872527871811,0.8983412657050769,2.1035698923064534,0.9771929621365004,1.013766169548035,2.170104742050171,1.612473726272583,2.216841459274292
MCL1,54,-9.77997627425646,95.14907433276562,0.9864361537109994,0.8096198894879905,0.283762017114497,0.9277366995811462,0.4430124461650848,1.4109100103378296,0.6956961154937744
MCL1,37,-8.95356461676206,94.9808688583071,0.9645592318480238,1.3181444251122658,1.2358942946848095,0.9300230145454408,0.3864844739437103,1.4304499626159668,0.6226512789726257
MCL1,67,-7.58092456527552,94.87550743786096,0.9637445471848276,0.8485572764190031,0.7000955349280017,0.880789041519165,0.3327500820159912,1.3734685182571411,0.5926956534385681
MCL1,31,-7.91951688961355,94.70945221750716,0.9747424244013386,0.6907194154713553,0.324783828488921,0.977867066860199,0.4887635707855224,1.5244356393814087,0.6891379952430725
MCL1,50,-9.32829709690352,94.64043727463883,0.9552550475223502,0.8902291768262411,0.3433322344607685,0.93575119972229,0.4272933602333069,1.502594232559204,0.6453097462654114
MCL1,28,-6.62149034253618,94.62738072194435,0.9697159628283528,1.4215732432446422,1.101538984164127,0.9029614329338074,0.3428238332271576,1.3634501695632937,0.6227698922157288
